Sale_YearMonth,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
201601,121074.0741,101352.9412,114023.2558,196711.1515,101717.1389,305498.6549,174299.5234,136784.726,223409.2504,119306.2857,141796.2963,73892.39613,136901.1236,67854.16667,130144.8254,98061.01538,173547.9828,122440,99490,76932.43243,117903.8462,109635.7143,122530.9685,117430.5556,150335.443,273283.6364
201602,129000,97361.36364,138580.6452,162844.4824,80983.34234,271407.6271,175757.9771,139220.697,218268.3731,170298.0392,114285.785,95604.16667,117491.8033,78454.30769,135155.6825,100019.1919,205820.2247,100750,99690.63415,80127.65957,96739.13043,113090.6863,101576.6463,118708.1395,120251.6854,273413.2184
201603,128303.0303,84356.81818,130270,178512.8193,97193.37736,301784.9151,148032.1284,137688.2353,205421.5781,160901.2195,120763.9556,72831.81818,106810.3437,85771.42857,129252.2131,93096.21978,185678.061,85456.78261,95712.2549,79457.14286,105255.5726,106569.0581,123135.5957,114114.7541,129274.7525,262002.9421
201604,101090.9091,100421,118298.5111,179791.174,92165.85714,302585.3835,158737.9607,131065.133,219800.3226,135348.9268,133492.8039,76023.17073,128320.3013,68924.24242,145014.9988,105037.8229,196905.5556,105598.4643,122621.4103,95143.51852,86232.34545,111044.6173,125651.7442,121111.4871,127577.1379,256755.2941
201605,137291.6667,93900.62264,126596.7037,178657.8576,105865.6506,313834.4139,134502.0448,129214.427,221207.4714,140860.4545,100340.4375,69532.6087,142240.0093,73900,136188.5879,106346.2675,204010.4243,138818.1818,131475,81291.66667,60675.11905,105816.781,126409.0202,124989.3934,111526.531,269830.3809
201606,131257.5758,108129.6296,135539.7895,168870.95,100773.6198,313598.8098,166152.6422,130081.8644,220306.994,160486.6981,112103.6538,86791.66667,116055.3713,74960.73964,145865.9101,114861.1111,197453.8411,95379.72093,114407.66,84631.30769,93630.4918,98172.04301,120815.3153,103937.1134,136456.1404,268550.5882
201607,135301.7632,96923.67797,117171.2636,178486.0093,99384.73019,324564.0368,167110.4417,143276.8001,243242.4597,162188.6792,130657.4074,84405.68966,128740.0323,82812.5,150134.3137,116507.1583,204196.0477,129775.8621,101608.3335,91798.30508,106177.4194,119993.204,132679.1667,146488.0682,140034.5033,259021.4286
201608,144007.9744,98535.38462,155633.3333,182926.8865,95583.89169,318233.6381,172422.5554,126430.6897,222834.375,149299.3605,111110.5319,66203.18182,161663.6,89958.33333,159641.8732,104741.0267,208316.1769,117340,111407.3889,78344.87179,102796.9388,112913.0085,130820.678,121955.9838,152138.0577,264943.5398
201609,125279.0698,111498.4375,129532.7056,206120.7757,98805.04587,328511.0386,180023.6041,117412.2169,223361.6496,169772.1333,118162.5885,96064.86486,139350.2765,96113.64516,152303.7838,110941.7647,208464.5428,87065.38462,128936.3636,80345.20635,105964.2857,119743.9018,127613.0435,113862.069,138246.4808,259282.6931
201610,141676.4706,102389.5342,133546.0712,189086.7082,89078.84579,321571.1081,170840.1958,129045.3097,234845.5912,194004.902,135792.1967,92214.57447,127390.0676,73982.32619,167966.9444,102850.5454,220921.75,124358.3333,113049.1,91155,99994,115429.4493,125995.4791,125911.7647,147425.9094,274494.9468
